                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                 1.1665,                  1.017,                  1.331,                  1.219,                 1.1062,                 1.3198,                0.75447,                 0.5476,                0.61205,                0.36021,                 1.5156,                 1.2587,                 1.7041,                 1.4798,                 1.4028,                 1.6329,               0.001585,               0.001585,               0.001585
                     88,                 1.1409,                 0.9925,                 1.3168,                 1.2034,                 1.0809,                 1.3045,                0.75574,                0.52208,                0.60458,                0.33943,                 1.5715,                 1.2643,                 1.7476,                 1.6146,                 1.3532,                 1.7224,               0.001486,               0.001486,               0.001486
                     89,                 1.1443,                0.99181,                 1.3247,                 1.1884,                 1.0821,                 1.2985,                0.80456,                0.51214,                0.60517,                0.34344,                 1.5204,                 1.2745,                 1.7166,                 1.5632,                 1.3826,                 1.6915,               0.001387,               0.001387,               0.001387
                     90,                 1.1303,                0.97142,                 1.3111,                 1.1912,                 1.0497,                 1.2952,                0.80146,                0.54254,                0.62169,                0.35995,                 1.5247,                 1.2169,                 1.7088,                 1.5227,                  1.331,                 1.6434,               0.001288,               0.001288,               0.001288
                     91,                  1.159,                 1.0061,                 1.3313,                 1.2081,                 1.1045,                 1.3119,                0.76444,                 0.5814,                0.62014,                 0.3603,                 1.5245,                 1.2466,                 1.7037,                 1.5326,                 1.3397,                 1.6675,               0.001189,               0.001189,               0.001189
                     92,                 1.1253,                0.96616,                 1.3001,                 1.1726,                   1.06,                 1.2841,                0.74984,                0.55462,                0.61293,                0.35572,                 1.5264,                 1.2437,                 1.6956,                 1.5071,                 1.3874,                 1.6408,                0.00109,                0.00109,                0.00109
                     93,                 1.1488,                0.97961,                 1.3183,                 1.1916,                 1.0749,                    1.3,                0.73675,                0.57165,                0.60985,                0.35024,                  1.539,                 1.2354,                 1.7092,                  1.568,                 1.3524,                 1.6581,               0.000991,               0.000991,               0.000991
                     94,                 1.1361,                0.96881,                 1.3098,                 1.1881,                 1.0455,                 1.2974,                 0.7781,                0.56191,                0.60891,                0.35458,                 1.5188,                 1.2492,                 1.6898,                 1.5428,                 1.3399,                 1.6418,               0.000892,               0.000892,               0.000892
                     95,                 1.1176,                0.96237,                 1.2939,                 1.1652,                 1.0422,                 1.2781,                0.74982,                 0.5844,                0.61845,                0.36114,                 1.5061,                 1.2203,                 1.6865,                 1.5301,                 1.3359,                 1.6408,               0.000793,               0.000793,               0.000793
                     96,                 1.1229,                0.95905,                 1.2911,                 1.1635,                 1.0423,                 1.2677,                0.79101,                0.55978,                0.63116,                0.36662,                  1.509,                  1.215,                 1.6948,                 1.5577,                 1.2803,                 1.6596,               0.000694,               0.000694,               0.000694
                     97,                 1.1152,                0.94905,                 1.2934,                 1.1553,                 1.0551,                 1.2736,                0.80263,                0.56783,                0.62984,                0.35794,                 1.5204,                 1.2292,                 1.7158,                 1.5458,                 1.3273,                 1.6805,               0.000595,               0.000595,               0.000595
                     98,                 1.1006,                 0.9586,                 1.2913,                 1.1437,                  1.041,                 1.2735,                0.81352,                0.53712,                0.62273,                0.35944,                 1.5193,                 1.2141,                 1.7069,                 1.5559,                 1.3107,                 1.6728,               0.000496,               0.000496,               0.000496
                     99,                 1.0987,                0.93674,                 1.2854,                  1.158,                 1.0143,                 1.2781,                 0.7953,                0.57616,                0.63083,                 0.3685,                 1.4999,                  1.193,                 1.6925,                 1.5358,                 1.2616,                   1.66,               0.000397,               0.000397,               0.000397
                    100,                 1.1276,                0.94557,                 1.3083,                 1.1729,                  1.033,                 1.2866,                0.76992,                0.57525,                0.62768,                0.36489,                 1.5055,                 1.1928,                 1.6918,                   1.52,                 1.2924,                 1.6443,               0.000298,               0.000298,               0.000298
